UNITID,AGENCY,FIRENAME,FIRENUM,STARTDATE,PERIMDATE,ACRES,YEAR,CAUSE,SHAPE_AREA,SHAPE_LEN
WANES,WA DNR - NE REGION,MARYLS ROAD,489,2011-08-09,2011-08-10,408.59884586,2011,UNKNOWN,17798494.5315,24989.5541327
WASES,WA DNR - SE REGION,WASHINGTON CREEK,257,2011-08-01,2011-08-06,245.68283678,2011,UNKNOWN,10701901.5626,18267.7159394
WASPS,WA DNR - SPS REGION,EELS HILL,UNKNOWN,2011-08-17,2011-09-10,49.9780847,2011,UNKNOWN,2177036.66115,7645.36750124
WASES,WA DNR - SE REGION,NAVARRE,125,2012-07-05,2012-07-06,602.21934453,2012,MISCELLANEOUS,26232569.7171,19469.6375896
WANCP,NORTH CASCADES NP,RAINBOW BRIDGE,005,2010-07-29,2010-08-02,4117.8871198,2010,UNKNOWN,179374445.439,83540.352072
WAOWF,OKAN-WEN NF,VIRGINIA LAKE,UNKNOWN,2001-08-01,2001-08-01,36683.98601782,2001,UNKNOWN,1597948039.12,204731.761641
WAOWF,OKAN-WEN NF,ROCKY HULL,UNKNOWN,2000-07-22,2000-07-26,9481.85678068,2000,LIGHTNING,413028029.25,143949.310326
WAOWF,OKAN-WEN NF,WHISKY MOUNTAIN,353,2007-08-18,2007-08-18,961.00487006,2007,LIGHTNING,41861204.6944,44857.3237702
WA,UNKNOWN,FERN ROAD,UNKNOWN,2002-09-16,2002-09-16,15.65862786,2002,UNKNOWN,682087.101386,3312.09928207
ORCGF,COLUMBIA RG NSA,COURTNEY ROAD,UNKNOWN,2001-07-12,2001-07-12,89.65697123,2001,UNKNOWN,3905442.04513,12162.7240396
ORPRD,PRINEVILLE DIST,DOG CREEK,UNKNOWN,2001-07-12,2001-07-12,568.58337726,2001,UNKNOWN,24767392.8438,28048.6525488
ORCGF,COLUMBIA RG NSA,UNKNOWN,UNKNOWN,2001-08-01,2001-08-01,93.34318517,2001,UNKNOWN,4066012.88179,8295.52575519
WAOWF,OKAN-WEN NF,AMABILIS,00734,2006-10-12,2006-12-10,116.99950814,2006,UNKNOWN,5096478.18865,11640.3382677
WAOWF,OKAN-WEN NF,RATTLESNAKE CREEK,077,2007-08-05,2007-08-05,1653.59408222,2007,UNKNOWN,72030270.0995,51586.5009827
WAOWF,OKAN-WEN NF,TROUT,131,2006-06-27,2006-06-27,139.95743282,2006,EQUIPMENT USE,6096521.38766,14649.2512062
WAGPF,GIFFORD PINCHOT NF,LOST LAKE,UNKNOWN,2003-05-08,2003-05-08,265.02327787,2003,UNKNOWN,11544367.8065,16507.534591
WAYAA,BIA - YAKIMA,MILE MARKER 44,100,2004-08-11,2004-08-13,126.13880661,2004,UNKNOWN,5494584.43734,15170.7699714
WAOWF,OKAN-WEN NF,CAPE LABELLE,047,2001-08-01,2001-08-01,260.35904241,2001,UNKNOWN,11341194.5223,19106.3116903
WA,UNKNOWN,AVERY,UNKNOWN,2003-07-13,2003-07-13,284.03341072,2003,UNKNOWN,12372445.8811,32819.7816005
WASES,WA DNR - SE REGION,ROCKY FORD,509,2006-06-28,2006-06-28,3183.48271274,2006,UNKNOWN,138671952.277,54979.7546307
ORUMF,UMATILLA NF,COTTONWOOD,258,2007-08-18,2008-05-29,3399.02911089,2007,EQUIPMENT USE,148061115.824,72822.8105743
WAOWF,OKAN-WEN NF,LEMAH,102,2009-07-25,2009-07-25,649.35772031,2009,LIGHTNING,28285909.1529,23823.8260532
WAOWF,OKAN-WEN NF,SHULL RIDGE,061,2009-07-17,2009-07-17,211.74649621,2009,LIGHTNING,9223640.48022,16532.6416267
WAOWF,OKAN-WEN NF,SABLE,155,2009-07-30,2009-07-30,542.3959843,2009,LIGHTNING,23626674.5693,24827.3072158
WAMSF,MT. BAKER-SNOQ NF,MINERAL PARK,053,2003-08-01,2003-08-01,403.96614476,2003,UNKNOWN,17596694.8788,18944.5595903
WAMSF,MT. BAKER-SNOQ NF,SWIFT CREEK,062,2004-07-24,2004-07-27,536.76631734,2004,LIGHTNING,23381447.2571,18858.2928625
WAMSF,MT. BAKER-SNOQ NF,SPRING,082,2009-08-26,2009-08-26,219.66443002,2009,LIGHTNING,9568544.29758,13495.1350758
WAOWF,OKAN-WEN NF,POWDER MOUNTAIN,247,2009-07-26,2009-07-26,194.43637588,2009,LIGHTNING,8469614.65456,19589.8972686
WAOWF,OKAN-WEN NF,FOAM CREEK WFU,061,2008-08-08,2008-08-08,602.4755335,2008,LIGHTNING,26243729.2639,27863.0533957
WAMSF,MT. BAKER-SNOQ NF,DOWNEY,063,2004-08-01,2004-08-01,319.68472309,2004,UNKNOWN,13925410.836,15548.160623
WAMSF,MT. BAKER-SNOQ NF,SONNY BOY,056,2003-08-01,2003-08-01,391.14601969,2003,UNKNOWN,17038252.4644,19061.6403524
WAMSF,MT. BAKER-SNOQ NF,DOME CREEK,063,2004-08-01,2004-08-01,229.20416381,2004,UNKNOWN,9984093.43893,12539.983344
WAOWF,OKAN-WEN NF,MCCOY,111,2007-09-27,2007-09-27,484.66368623,2007,UNKNOWN,21111865.7246,21469.3857269
WAOWF,OKAN-WEN NF,EIGHTMILE,106,2010-08-18,2010-08-18,189.89080314,2010,LIGHTNING,8271610.29815,11974.5440223
WAOWF,OKAN-WEN NF,CRYSTAL,122,2003-08-01,2003-08-01,1284.65082626,2003,UNKNOWN,55959166.1544,47262.3456387
WASES,WA DNR - SE REGION,MIDDLE FORK,UNKNOWN,2003-08-01,2003-08-01,2109.98353987,2003,UNKNOWN,91910515.3534,45320.989352
WASES,WA DNR - SE REGION,CARPENTER GULCH,287,2008-07-09,2008-08-11,120.7232244,2008,MISCELLANEOUS,5258682.62017,10019.1871779
WASES,WA DNR - SE REGION,NORTH FORK,408,2005-08-29,2005-08-29,136.25182958,2005,UNKNOWN,5935105.95619,10160.3600886
WACOA,COLVILLE AGENCY,RATTLESNAKE,070,2013-07-04,2013-07-05,506.66199677,2013,MISCELLANEOUS,22070108.2984,19755.4985039
WASES,WA DNR - SE REGION,25 MILE,199,2013-07-04,2013-07-08,2097.80322123,2013,UNKNOWN,91379942.7959,58918.5259846
WACOA,COLVILLE AGENCY,HWY 155,118,2013-07-08,2013-07-10,194.22565463,2013,MISCELLANEOUS,8460435.67379,14281.2208145
WANES,WA DNR - NE REGION,KNOX IN THE MIDDLE,642,2013-08-01,2013-08-05,79.74378985,2013,LIGHTNING,3473625.59147,7012.34737698
WANES,WA DNR - NE REGION,KNOX KNOX,650,2013-08-01,2013-08-05,3.95287959,2013,LIGHTNING,172186.746192,1900.84640308
WAOWF,OKAN-WEN NF,MOORE POINT,366,2013-07-28,2013-08-03,1573.13792257,2013,LIGHTNING,68525613.8038,41993.6711721
WAYAA,BIA - YAKIMA,MILE MARKER 28,081,2013-07-24,2013-08-04,26091.66238271,2013,MISCELLANEOUS,1136548267.18,237574.704667
WAOWF,OKAN-WEN NF,BUCKHORN,610,2012-09-09,2012-09-24,4631.12177558,2012,LIGHTNING,201730857.618,71123.1921497
