,LAT,LON,PLOT
83,47.35212,-123.578348,90123
84,48.236507,-121.258519,87442
85,48.69046,-120.76193,94456
86,47.771242,-120.482857,85033
87,46.194312,-122.018072,99854
88,47.400719,-123.283473,66972
89,46.17115,-121.794779,55869
90,45.945644,-121.872272,84154
91,47.975229,-120.756324,52940
92,47.68175,-120.74593,82187
93,47.909907,-120.24508,85411
94,47.767779,-120.509851,77833
95,47.748782,-120.803553,96914
96,47.945539,-120.588058,77361
97,47.645021,-120.44487,68474
98,48.494187,-119.036072,73831
99,48.116015,-120.321555,60575
100,47.92279,-122.958977,78385
101,48.168308,-121.936515,88082
102,47.267584,-117.53405,74091
103,47.385458,-117.346023,94952
104,47.450327,-117.573971,89706
105,46.802979,-122.916375,89923
106,46.277729,-120.869138,81260
107,46.25882,-120.349937,73544
108,46.284001,-120.524378,83848
109,46.417358,-122.115547,65035
110,48.849229,-121.699243,85099
111,48.887837,-121.327782,88990
112,48.901797,-121.495364,71108
113,46.769956,-117.748458,90973
114,48.623407,-118.542865,51521
115,47.913799,-123.287497,83103
116,46.93718,-123.444168,66173
117,46.9393,-119.378568,94056
118,47.02398,-119.918947,62352
119,48.619094,-118.179456,62508
120,48.736228,-118.734734,98480
121,48.738726,-118.385049,80043
122,46.346534,-123.105211,55646
123,46.339942,-122.559568,63943
124,46.342864,-122.772413,54138
125,47.026394,-120.804855,56387
126,46.360916,-122.244191,87244
127,48.085821,-123.955209,93694
128,48.109804,-124.14345,60976
129,46.093376,-122.218453,87375
130,48.138002,-120.201135,86450
131,48.573259,-120.10299,58968
132,48.811062,-118.976763,66851
133,48.513305,-118.3305,70087
134,48.685142,-117.866081,79238
135,48.634306,-118.94686,50625
136,46.61619,-123.928202,92574
137,47.719237,-122.940434,92989
138,46.39538,-118.817027,78690
139,48.244459,-117.726854,72484
140,46.979456,-119.419355,50214
141,48.377726,-123.065918,50548
142,48.394222,-117.127236,92454
143,48.659228,-119.131963,69374
144,47.175463,-121.715852,60666
145,46.991849,-120.396763,73380
146,47.222882,-122.641495,50517
147,46.64884,-124.107929,80455
148,46.487046,-124.071148,50762
149,46.610014,-122.164966,96822
150,46.311341,-120.19297,57714
151,46.802506,-120.27048,85439
152,47.358703,-118.408,55809
153,46.767008,-117.298064,72097
154,46.617785,-122.694364,64929
155,47.560645,-117.72673,85496
156,48.408814,-122.16233,96158
157,47.597547,-122.540765,72896
158,48.457254,-121.778222,55562
159,46.301047,-119.671315,66088
160,47.816329,-123.461405,75510
161,47.204553,-118.923458,87002
162,46.554263,-118.835668,68945
163,46.445658,-122.640412,58720
164,46.3395,-124.018752,52805
165,45.959755,-119.968553,53829
166,46.436938,-117.190758,62545
167,46.237267,-118.796677,72223
168,46.252953,-118.44417,92633
169,48.990051,-123.027687,50438
170,46.048788,-119.116096,94073
171,46.841902,-119.574308,69415
172,46.770412,-117.815559,85241
173,48.82626,-118.78407,95565
174,46.876322,-121.311614,62915
175,47.896524,-124.220535,52419
176,47.487796,-118.259591,62728
177,47.477057,-119.144672,93172
178,47.045364,-118.903562,91722
179,47.008622,-118.714042,86277
180,48.435388,-117.278596,83137
181,48.257703,-123.944481,50672
182,48.279619,-124.131266,50667
183,48.874699,-120.977241,61456
184,47.945034,-119.569537,59534
185,47.278148,-122.289787,68535
186,47.342261,-121.217271,84145
187,46.34362,-123.171275,73362
188,47.631584,-120.051913,78326
189,47.664828,-119.339755,60888
190,47.809952,-120.072978,73293
191,47.420676,-120.736165,69075
192,47.406169,-120.56284,65675
193,47.421523,-120.366876,55141
194,48.93935,-118.441698,75195
195,48.969262,-118.622043,65784
196,47.032179,-123.479964,77660
197,45.953825,-122.427148,70706
198,47.632689,-123.953187,60542
199,47.663954,-123.452307,90798
200,47.668436,-123.671004,76200
201,47.673727,-123.109126,95227
202,47.06879,-119.150864,82128
203,46.240672,-122.984014,65392
204,46.623492,-117.453698,62377
205,47.9062,-120.835372,79299
206,48.030921,-123.344915,61790
207,48.064986,-123.004198,84507
208,46.88641,-124.117846,83595
209,46.985396,-123.806529,68426
210,46.915411,-120.988808,80550
211,48.207704,-124.325287,80407
212,48.262793,-124.48562,93073
213,47.347692,-119.294009,67006
214,47.31523,-119.11119,60785
215,45.962405,-120.478016,94054
216,46.660274,-119.901233,58340
217,46.822931,-119.91852,83965
218,46.789525,-119.743557,51643
219,47.640995,-119.15454,71569
220,47.693523,-118.994725,94360
221,47.808897,-119.182142,87402
222,46.92849,-120.659025,53876
223,45.703107,-121.297334,53894
224,47.508655,-119.317768,76522
225,48.41087,-117.635436,55957
226,47.890189,-117.420267,92658
227,47.325728,-121.56957,91112
228,46.829936,-118.323168,90978
229,45.947372,-119.518759,97174
230,45.970219,-119.241936,73813
231,48.472324,-124.695938,50816
232,47.959121,-121.350166,93922
233,47.999342,-122.21454,56702
234,47.838053,-117.720536,97191
235,48.551683,-121.794217,83448
236,48.665845,-122.553302,50348
237,48.192928,-123.706724,50628
238,48.973232,-117.87292,92094
239,48.989065,-117.505858,88591
240,48.957463,-122.971671,50441
241,48.191638,-122.44944,50366
242,48.306211,-122.832323,50479
243,48.812429,-117.285845,94855
244,48.061913,-121.501348,52025
245,48.292338,-121.193829,99672
246,47.29587,-117.806929,68251
247,47.350673,-117.644636,82407
248,47.359163,-117.135798,56091
249,47.651153,-120.914587,91034
250,47.649321,-120.356774,92466
251,47.672722,-120.519343,58633
252,45.968114,-121.66312,66689
253,47.306402,-120.642103,92624
254,47.467571,-121.210169,59027
255,45.691595,-120.927653,71197
256,47.024976,-120.448333,61531
257,47.322877,-121.223018,81022
258,48.377702,-119.882389,51361
259,48.876808,-118.785738,54746
260,48.914223,-118.398041,54548
261,48.730703,-121.289727,57421
262,48.753694,-121.274946,70960
263,45.841693,-121.288254,77385
264,45.843116,-120.808096,68098
265,45.838175,-120.945574,79961
266,45.890327,-120.583328,50562
267,45.922296,-121.494106,56239
268,46.879411,-123.749256,71737
269,46.162684,-118.583947,75097
270,46.133267,-118.047825,82767
271,46.915835,-119.72164,59887
272,48.780438,-121.117846,80488
273,48.83265,-122.589534,60616
274,48.85551,-122.024728,56621
275,47.060862,-123.99591,70342
276,46.334081,-117.76907,72147
277,47.653374,-124.313039,91591
278,47.623532,-123.025852,73310
279,47.177486,-124.169812,51830
280,47.543349,-124.122114,84676
281,48.921327,-118.660942,81370
282,48.938571,-118.588258,51923
283,48.951573,-118.259409,78808
284,45.781599,-121.455858,75940
285,45.736988,-120.246263,98684
286,45.808293,-121.128903,63187
287,48.702205,-122.167338,63429
288,48.102376,-124.400176,71016
289,46.188234,-120.658249,62421
290,48.265032,-119.223531,55241
291,47.710857,-124.139173,68964
292,47.74219,-123.792515,98002
293,47.964868,-122.719216,53151
294,47.055961,-120.099593,57434
295,47.566505,-123.744615,57980
296,47.554532,-123.572929,54555
297,46.931102,-123.583563,72835
298,46.98669,-123.234303,76989
299,46.332736,-120.504429,57296
300,46.978477,-117.810234,78052
301,48.635086,-118.877675,77518
302,48.727623,-120.356717,58427
303,46.637348,-122.284813,51246
304,46.635626,-122.072608,56848
305,47.626087,-123.736558,56787
306,47.582172,-122.808077,53227
307,47.627242,-123.905784,51611
308,45.96419,-122.492773,96513
309,46.084506,-117.870272,70879
