LAT,LON,PLOT,INVYR,STATECD,UNITCD,COUNTYCD
46.443185,-120.038177,"54087","2013","53","8","77"
46.468193,-119.691347,"88736","2013","53","9","5"
46.522084,-120.192713,"77657","2014","53","8","77"
46.538774,-119.908289,"65563","2015","53","8","77"
46.494732,-119.80571,"91206","2015","53","9","5"
46.495882,-119.868068,"65795","2013","53","9","5"
46.429729,-119.655317,"80280","2014","53","9","5"
46.589621,-119.673524,"98214","2014","53","9","5"
46.439028,-120.116685,"88632","2021","53","8","77"
46.464188,-119.769036,"75627","2021","53","9","5"
46.494472,-119.945313,"56277","2021","53","8","77"
46.548323,-119.707843,"99398","2021","53","9","5"
46.596509,-120.138757,"96450","2021","53","8","77"
46.621209,-119.786632,"94010","2021","53","9","5"
46.562762,-120.168157,"96820","2020","53","8","77"
46.586752,-119.820276,"87686","2020","53","9","5"
46.520493,-120.055097,"50219","2018","53","8","77"
46.502468,-119.732056,"98421","2017","53","9","5"
46.436751,-119.519833,"96823","2018","53","9","5"
46.416065,-119.862092,"71330","2018","53","9","5"
46.489771,-120.097479,"56026","2017","53","8","77"
46.543128,-119.773416,"72283","2016","53","9","5"
46.458606,-119.908185,"54796","2017","53","8","77"
46.463455,-119.830257,"64083","2019","53","9","5"
46.51402,-119.669268,"59715","2019","53","9","5"
46.620802,-119.858762,"87407","2019","53","9","5"
46.532911,-119.984601,"86167","2020","53","8","77"
46.594443,-120.202188,"54866","2019","53","8","77"
46.434641,-120.175627,"92699","2019","53","8","77"
46.617425,-119.9239,"58550","2017","53","8","77"
46.567697,-119.955086,"72646","2016","53","8","77"
46.521782,-120.111589,"51928","2016","53","8","77"
46.577951,-119.875793,"51697","2018","53","8","77"
46.490226,-120.0121,"97230","2019","53","8","77"
46.717037,-119.592501,"93127","2002","53","9","25"
46.675637,-119.619835,"59793","2007","53","9","25"
46.712405,-119.653246,"58455","2010","53","9","25"
46.717037,-119.592501,"93127","2012","53","9","25"
46.712405,-119.653246,"58455","2020","53","9","25"
46.675637,-119.619835,"59793","2017","53","9","25"
46.674549,-119.684105,"94308","2009","53","9","25"
46.674549,-119.684105,"94308","2019","53","9","25"
45.674212,-122.090178,"95159","2005","53","7","59"
45.709009,-122.136557,"79888","2004","53","7","59"
45.622605,-122.326733,"98228","2003","53","7","11"
45.75472,-122.229747,"90648","2004","53","7","59"
45.845507,-121.946429,"87776","2004","53","7","59"
45.791042,-122.142502,"74333","2004","53","7","59"
45.648909,-122.283118,"77259","2006","53","7","11"
45.747961,-122.347467,"89580","2004","53","7","11"
45.696585,-122.202962,"73253","2002","53","7","59"
45.748489,-121.864432,"78827","2002","53","7","59"
45.749743,-122.071966,"80226","2002","53","7","59"
45.800069,-122.230326,"77555","2003","53","7","59"
45.875483,-122.222763,"65729","2002","53","7","59"
45.777637,-122.184486,"98502","2003","53","7","59"
45.826505,-122.229292,"57204","2004","53","7","59"
45.810634,-122.289024,"71911","2005","53","7","11"
45.850753,-122.223301,"59324","2008","53","7","59"
45.851641,-122.190457,"62800","2003","53","7","59"
45.671872,-122.158236,"84324","2003","53","7","59"
45.799057,-122.050983,"74226","2003","53","7","59"
45.851575,-122.344118,"52689","2008","53","7","11"
45.74718,-121.998665,"89166","2008","53","7","59"
45.751281,-122.183708,"64383","2008","53","7","59"
45.710738,-122.3497,"85171","2008","53","7","11"
45.752211,-122.25932,"92175","2006","53","7","11"
45.84996,-122.409296,"81829","2006","53","7","11"
45.823335,-122.195992,"86799","2006","53","7","59"
45.803081,-122.188896,"54929","2007","53","7","59"
45.785533,-121.910328,"58494","2006","53","7","59"
45.664089,-122.351499,"89112","2007","53","7","11"
45.619091,-122.185451,"51087","2007","53","7","59"
45.603352,-122.19872,"52749","2006","53","7","59"
45.730866,-122.194688,"59946","2007","53","7","59"
45.772499,-122.217411,"67208","2008","53","7","59"
45.777637,-122.184486,"98502","2013","53","7","59"
45.800069,-122.230326,"77555","2013","53","7","59"
45.651345,-122.138343,"60420","2009","53","7","59"
45.703581,-121.942009,"64938","2013","53","7","59"
45.855334,-122.280919,"58937","2010","53","7","11"
45.625813,-122.256448,"84537","2006","53","7","11"
45.801366,-122.118993,"80915","2009","53","7","59"
45.818338,-122.325908,"64534","2009","53","7","11"
45.791316,-122.089636,"53878","2011","53","7","59"
45.748489,-121.864432,"78827","2012","53","7","59"
45.799894,-122.012776,"67172","2010","53","7","59"
45.825416,-122.117983,"89644","2010","53","7","59"
45.833445,-122.253054,"78220","2011","53","7","11"
45.825683,-122.153202,"73682","2010","53","7","59"
45.62531,-122.117474,"61120","2010","53","7","59"
45.699155,-122.272315,"52338","2010","53","7","11"
45.755071,-121.912748,"52229","2010","53","7","59"
45.674212,-122.090178,"95159","2015","53","7","59"
45.727636,-122.225011,"92243","2011","53","7","59"
45.749743,-122.071966,"80226","2012","53","7","59"
45.875483,-122.222763,"65729","2012","53","7","59"
45.696585,-122.202962,"73253","2012","53","7","59"
45.603836,-122.150531,"97925","2009","53","7","59"
45.624599,-122.088603,"68797","2009","53","7","59"
45.756615,-122.142779,"54918","2010","53","7","59"
45.657256,-122.225842,"80042","2011","53","7","59"
45.622605,-122.326733,"98228","2013","53","7","11"
45.747961,-122.347467,"89580","2014","53","7","11"
45.810634,-122.289024,"71911","2015","53","7","11"
45.671872,-122.158236,"84324","2013","53","7","59"
45.823335,-122.195992,"86799","2016","53","7","59"
45.845507,-121.946429,"87776","2014","53","7","59"
45.791042,-122.142502,"74333","2014","53","7","59"
45.826505,-122.229292,"57204","2014","53","7","59"
45.75472,-122.229747,"90648","2014","53","7","59"
