field_1,LAT,LON,PLOT,UNQE_FIRE_,FEATURE_CA,GIS_ACRES,FIRE_YEAR_
"13392",46.495882000000002,-119.868067999999994,"65795",2009-WASPD-000000,Wildfire,395.990000000000009,"2009"
"1421",46.538773999999997,-119.908288999999996,"65563",2009-WASPD-000000,Wildfire,395.990000000000009,"2009"
"3322",46.447670000000002,-119.968622999999994,"67640",2009-WASPD-000000,Wildfire,395.990000000000009,"2009"
"4047",46.458606000000003,-119.908185000000003,"54796",2009-WASPD-000000,Wildfire,395.990000000000009,"2009"
"10613",46.447670000000002,-119.968622999999994,"67640",2009-WASPD-000000,Wildfire,395.990000000000009,"2009"
"11010",46.494472000000002,-119.945312999999999,"56277",2009-WASPD-000000,Wildfire,395.990000000000009,"2009"
"12855",46.538773999999997,-119.908288999999996,"65563",2009-WASPD-000000,Wildfire,395.990000000000009,"2009"
"14890",46.494472000000002,-119.945312999999999,"56277",2009-WASPD-000000,Wildfire,395.990000000000009,"2009"
"18178",46.458606000000003,-119.908185000000003,"54796",2009-WASPD-000000,Wildfire,395.990000000000009,"2009"
"6670",46.463455000000003,-119.830257000000003,"64083",2016-WASPD-500344,Wildfire,69707.389999999999418,"2016"
"6880",46.416065000000003,-119.862092000000004,"71330",2016-WASPD-500344,Wildfire,69707.389999999999418,"2016"
"16939",46.416065000000003,-119.862092000000004,"71330",2016-WASPD-500344,Wildfire,69707.389999999999418,"2016"
"18287",46.463455000000003,-119.830257000000003,"64083",2016-WASPD-500344,Wildfire,69707.389999999999418,"2016"
"5838",46.575128999999997,-120.020919000000006,"91136",2016-WASPD-500344,Wildfire,69707.389999999999418,"2016"
"6429",46.490226000000000,-120.012100000000004,"97230",2016-WASPD-500344,Wildfire,69707.389999999999418,"2016"
"10878",46.575128999999997,-120.020919000000006,"91136",2016-WASPD-500344,Wildfire,69707.389999999999418,"2016"
"11414",46.532910999999999,-119.984600999999998,"86167",2016-WASPD-500344,Wildfire,69707.389999999999418,"2016"
"18990",46.532910999999999,-119.984600999999998,"86167",2016-WASPD-500344,Wildfire,69707.389999999999418,"2016"
"19975",46.490226000000000,-120.012100000000004,"97230",2016-WASPD-500344,Wildfire,69707.389999999999418,"2016"
"794",46.565716000000002,-120.093675000000005,"68555",2016-WASPD-500344,Wildfire,69707.389999999999418,"2016"
"830",46.443185000000000,-120.038177000000005,"54087",2016-WASPD-500344,Wildfire,69707.389999999999418,"2016"
"4048",46.489770999999998,-120.097479000000007,"56026",2016-WASPD-500344,Wildfire,69707.389999999999418,"2016"
"4231",46.520493000000002,-120.055097000000004,"50219",2016-WASPD-500344,Wildfire,69707.389999999999418,"2016"
"7519",46.594442999999998,-120.202188000000007,"54866",2016-WASPD-500344,Wildfire,69707.389999999999418,"2016"
"8478",46.521782000000002,-120.111588999999995,"51928",2016-WASPD-500344,Wildfire,69707.389999999999418,"2016"
